Word_num,Word,Difficulty
1,Profligacy,hard
2,Abhorrent,intermediate
3,Hubris,intermediate
4,Brittle,easy
5,Diligent,easy
6,Innovative,intermediate
7,Dependable,easy
8,Mythological,hard
9,Putative,hard
10,Conventional,intermediate
11,Egregious,hard
12,Incendiary,intermediate
13,Provenance,intermediate
14,Technology,easy
15,Accessory,easy
16,Handle,easy
17,Ability,easy
18,Conscientiousness,hard
19,Prescient,hard
20,Ephemeral,intermediate
21,Ostracism,hard
22,Philanthropic,hard
23,Choir,easy
24,Building,easy
25,Defibrillator,hard
26,Purse,easy
27,Trifling,intermediate
28,Ubiquitous,hard
29,Vocabulary,intermediate
30,Enormity,intermediate
